Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
19500	488	491	250	0	4	0	0	649911	127	26	12	0	19	186476	0	635293	9	662412	12	372465	587508
19750	489	476	276	2	4	0	9	642237	114	26	0	0	5	201150	37	623931	7	449905	1	368881	576660
20000	509	376	276	0	3	14	0	649806	127	24	0	0	3	199886	0	643197	648	471732	14	379523	596096
20250	639	441	265	13	3	0	0	670608	306	74	29	14	76	198004	0	654020	20	476699	0	392289	583098
20500	472	708	298	0	2	0	0	660344	113	37	0	0	4	196208	0	661849	75	480155	0	391249	604317
20750	417	492	277	65	32	0	0	684965	100	21	23	0	6	233881	13	681652	70	430768	0	394788	609367
21000	434	444	250	0	4	71	0	684767	410	11	0	0	17	208142	0	679234	99	417855	17	391989	627514
21250	359	193	267	12	24	0	0	683910	199	55	0	0	2	208376	0	695453	8	440016	0	405347	627320
21500	449	401	276	13	6	0	0	702396	236	13	0	0	5	221436	11	700591	20	434104	0	415980	646372
21750	423	429	262	0	0	24	0	704472	359	51	14	0	86	217586	0	713060	6	458317	0	414059	663891
22000	587	581	250	0	2	0	0	722486	163	19	24	0	27	244929	0	700477	9	454517	0	431930	663196
22250	398	494	310	1	13	0	0	732100	175	11	0	0	12	218884	53	718153	19	452811	0	412285	658461
22500	426	408	250	0	4	0	0	719455	120	96	24	28	148	226874	0	730948	32	459366	0	421443	690229
22750	523	458	288	0	3	0	0	738904	170	15	0	0	5	227849	0	740994	6	478842	0	431015	688316
23000	460	1119	250	0	25	0	0	756032	110	86	12	0	4	268123	0	749968	7	478555	0	427196	705720
23250	463	511	312	5632	1	0	0	760577	157	21	14	0	71	227465	0	750618	57	490400	0	450453	695672
23500	398	621	275	13	4	0	0	758790	113	34	12	0	8	258191	0	770011	6	482592	0	451763	707202
23750	465	631	321	0	41	0	0	777072	147	116	0	0	6	257006	0	777100	23	468799	0	443810	703660
24000	357	4693	262	0	147	0	0	788308	114	73	55	0	18	305811	0	787493	7	498181	0	448007	723918
24250	459	413	325	0	17	0	0	783694	267	82	0	0	4	256413	0	791564	7	483681	73	460396	726269
